acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,music_key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence
0.277,https://api.spotify.com/v1/audio-analysis/005GaX6hvgeTFnR9FvejTE,0.782,230103,0.341,005GaX6hvgeTFnR9FvejTE,0.000111,3,0.109,-7.646,1,"Hey Lady",0.0311,97.044,4,https://api.spotify.com/v1/tracks/005GaX6hvgeTFnR9FvejTE,audio_features,spotify:track:005GaX6hvgeTFnR9FvejTE,0.709
0.223,https://api.spotify.com/v1/audio-analysis/00aQGaqM6SFzGfbgKOite0,0.609,248158,0.466,00aQGaqM6SFzGfbgKOite0,0.00934,8,0.0947,-11.735,1,"So Close",0.178,114.039,4,https://api.spotify.com/v1/tracks/00aQGaqM6SFzGfbgKOite0,audio_features,spotify:track:00aQGaqM6SFzGfbgKOite0,0.492
0.744,https://api.spotify.com/v1/audio-analysis/00BTDWR6xCaGdst6cPKkpF,0.39,412613,0.39,00BTDWR6xCaGdst6cPKkpF,0.0858,2,0.0771,-15.14,1,Hideaway,0.0529,147.055,3,https://api.spotify.com/v1/tracks/00BTDWR6xCaGdst6cPKkpF,audio_features,spotify:track:00BTDWR6xCaGdst6cPKkpF,0.0382
0.459,https://api.spotify.com/v1/audio-analysis/00bWqt93aqLXqKtzZoq7Jw,0.878,286517,0.407,00bWqt93aqLXqKtzZoq7Jw,0,7,0.111,-10.941,1,MOOO!,0.233,89.007,4,https://api.spotify.com/v1/tracks/00bWqt93aqLXqKtzZoq7Jw,audio_features,spotify:track:00bWqt93aqLXqKtzZoq7Jw,0.546
0.706,https://api.spotify.com/v1/audio-analysis/01OOLvNYxeSttThtUj8Mor,0.558,205413,0.558,01OOLvNYxeSttThtUj8Mor,0.0000683,4,0.27,-10.455,1,Julia,0.0367,139.914,3,https://api.spotify.com/v1/tracks/01OOLvNYxeSttThtUj8Mor,audio_features,spotify:track:01OOLvNYxeSttThtUj8Mor,0.524
0.11,https://api.spotify.com/v1/audio-analysis/02fFizH6SjzEQQ4BY6eoLl,0.855,293693,0.383,02fFizH6SjzEQQ4BY6eoLl,0,9,0.0509,-7.219,1,"Model Behavior",0.0401,130.083,4,https://api.spotify.com/v1/tracks/02fFizH6SjzEQQ4BY6eoLl,audio_features,spotify:track:02fFizH6SjzEQQ4BY6eoLl,0.961
0.169,https://api.spotify.com/v1/audio-analysis/034KyQEk7IhbLtniVhBErj,0.558,160737,0.364,034KyQEk7IhbLtniVhBErj,0.0000994,5,0.109,-8.663,1,17,0.0502,129.17,4,https://api.spotify.com/v1/tracks/034KyQEk7IhbLtniVhBErj,audio_features,spotify:track:034KyQEk7IhbLtniVhBErj,0.252
0.15,https://api.spotify.com/v1/audio-analysis/03X3YEhpBI3Yl651OdqOCr,0.65,205457,0.495,03X3YEhpBI3Yl651OdqOCr,0,6,0.0903,-6.86,1,"I Need It",0.321,101.033,3,https://api.spotify.com/v1/tracks/03X3YEhpBI3Yl651OdqOCr,audio_features,spotify:track:03X3YEhpBI3Yl651OdqOCr,0.652
0.147,https://api.spotify.com/v1/audio-analysis/04m02iBDRpccUzw0t1NnuU,0.51,193027,0.694,04m02iBDRpccUzw0t1NnuU,0.000113,2,0.698,-4.689,1,Driftin',0.0423,159.958,4,https://api.spotify.com/v1/tracks/04m02iBDRpccUzw0t1NnuU,audio_features,spotify:track:04m02iBDRpccUzw0t1NnuU,0.479
0.517,https://api.spotify.com/v1/audio-analysis/04VtzZ6KCEZLoEomgVR4ln,0.499,284773,0.521,04VtzZ6KCEZLoEomgVR4ln,0,9,0.127,-7.921,1,"So Damn Fast",0.0396,73.201,4,https://api.spotify.com/v1/tracks/04VtzZ6KCEZLoEomgVR4ln,audio_features,spotify:track:04VtzZ6KCEZLoEomgVR4ln,0.39
