name;genre
$uicideboy$;"cloud rap"
$uicideboy$;"dark trap"
$uicideboy$;"new orleans rap"
$uicideboy$;"underground hip hop"
"5 Seconds of Summer";"boy band"
"5 Seconds of Summer";pop
6LACK;"atl hip hop"
6LACK;"melodic rap"
6LACK;r&b
6LACK;rap
6LACK;trap
"A Rocket To The Moon";"neon pop punk"
"A Rocket To The Moon";pixie
"A Rocket To The Moon";"pop punk"
"A V I A N D";"anime lo-fi"
"Adam Melchor";"indie pop"
"Adam Melchor";"modern indie folk"
"Adam Melchor";"new jersey indie"
"All Time Low";"modern rock"
"All Time Low";"neon pop punk"
"All Time Low";"pop emo"
"All Time Low";"pop punk"
"Alt Bloom";"singer-songwriter pop"
"American Hi-Fi";"neon pop punk"
"American Hi-Fi";"pop rock"
"Amy Lee";hel
"Avril Lavigne";"canadian pop"
"Avril Lavigne";"candy pop"
"Avril Lavigne";"dance pop"
"Avril Lavigne";pop
"Ayo & Teo";trap
"Ayo & Teo";"viral rap"
"Ayo & Teo";"viral trap"
Bazzi;pop
"benny blanco";pop
blackbear;pop
blink-182;"alternative metal"
blink-182;"modern rock"
blink-182;"pop punk"
blink-182;punk
blink-182;rock
blink-182;"socal pop punk"
"Bowling For Soup";"neon pop punk"
"Bowling For Soup";"pop punk"
"Bowling For Soup";"pop rock"
"Bowling For Soup";"texas pop punk"
"BOYS LIKE GIRLS";"neon pop punk"
"BOYS LIKE GIRLS";"pop punk"
"Bruno Major";"singer-songwriter pop"
"Bruno Mars";"dance pop"
"Bruno Mars";pop
"Canyon City";"acoustic pop"
"Canyon City";"indie anthem-folk"
"Canyon City";indiecoustica
"Canyon City";"modern indie folk"
Cartel;"atlanta punk"
Cartel;"neon pop punk"
Cartel;"pop punk"
Cascada;eurodance
Cascada;europop
Cascada;"german techno"
Cascada;"melbourne bounce international"
Caye;"boston hip hop"
"Charlie Burg";"ann arbor indie"
"Charlie Burg";"bedroom soul"
Cuco;"bedroom pop"
Cuco;"dream pop"
"Cute Is What We Aim For";"neon pop punk"
"Cute Is What We Aim For";pixie
"Cute Is What We Aim For";"pop punk"
"Dane Amar";"asian american hip hop"
"David Osborne";classify
"Demi Lovato";pop
"Demi Lovato";"post-teen pop"
"Devin Kennedy";"bedroom r&b"
"Devin Kennedy";"chill r&b"
"Devin Kennedy";"indie r&b"
"Doja Cat";"dance pop"
"Doja Cat";pop
"Don Toliver";"pop rap"
"Don Toliver";rap
"Don Toliver";trap
"Dreamer Boy";"nashville indie"
"Dustin O'Halloran";"compositional ambient"
"Ellie Goulding";indietronica
"Ellie Goulding";metropopolis
"Ellie Goulding";pop
"Ellie Goulding";"uk pop"
Eloise;"bedroom soul"
"Emile Pandolfi";"new age piano"
"Escape the Fate";"alternative metal"
"Escape the Fate";metalcore
"Escape the Fate";"neon pop punk"
"Escape the Fate";pixie
"Escape the Fate";"pop punk"
"Escape the Fate";post-grunge
"Escape the Fate";screamo
Evanescence;"alternative metal"
"Fall Out Boy";emo
