id;name;href
03ZdbEBsbFHG3uJC6gYiOY;"Sam Greenfield";https://api.spotify.com/v1/artists/03ZdbEBsbFHG3uJC6gYiOY
04gDigrS5kc9YWfZHwBETP;"Maroon 5";https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP
06knYh538h5SI7OAEF8ek3;Georgia;https://api.spotify.com/v1/artists/06knYh538h5SI7OAEF8ek3
0du5cEVh5yTK9QJze8zA0C;"Bruno Mars";https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C
0fauHpmSHwodVYIjTqOGHz;Yiruma;https://api.spotify.com/v1/artists/0fauHpmSHwodVYIjTqOGHz
0fGVuq5ed21pM7iWwTcMyk;"Amy Lee";https://api.spotify.com/v1/artists/0fGVuq5ed21pM7iWwTcMyk
0fTav4sBLmYOAzKuJw0grL;"Mac Ayres";https://api.spotify.com/v1/artists/0fTav4sBLmYOAzKuJw0grL
0H39MdGGX6dbnnQPt6NQkZ;"SAINt JHN";https://api.spotify.com/v1/artists/0H39MdGGX6dbnnQPt6NQkZ
0hDjKSKjl1DC7ovYTDJHe8;"Bruno Major";https://api.spotify.com/v1/artists/0hDjKSKjl1DC7ovYTDJHe8
0hPB6WmY4JXhcrficlznCx;"Phoebe Katis";https://api.spotify.com/v1/artists/0hPB6WmY4JXhcrficlznCx
0KDuKk6YdEu3hR56HtXmxt;"Story Of The Year";https://api.spotify.com/v1/artists/0KDuKk6YdEu3hR56HtXmxt
0N0d3kjwdY2h7UVuTdJGfp;Cascada;https://api.spotify.com/v1/artists/0N0d3kjwdY2h7UVuTdJGfp
0oA8UUNNUP3zWCUkZVin0G;"David Osborne";https://api.spotify.com/v1/artists/0oA8UUNNUP3zWCUkZVin0G
0p4nmQO2msCgU4IF37Wi3j;"Avril Lavigne";https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j
0qT79UgT5tY4yudH9VfsdT;"Sum 41";https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT
0RqtSIYZmd4fiBKVFqyIqD;"Thirty Seconds To Mars";https://api.spotify.com/v1/artists/0RqtSIYZmd4fiBKVFqyIqD
0Tcr6t5uyvDgOuNPCD36A3;"Chad Tepper";https://api.spotify.com/v1/artists/0Tcr6t5uyvDgOuNPCD36A3
