acousticness;analysis_url;danceability;duration_ms;energy;id;instrumentalness;music_key;liveness;loudness;mode;name;speechiness;tempo;time_signature;track_href;type;uri;valence
0.0000648;https://api.spotify.com/v1/audio-analysis/003FTlCpBTM4eSqYSWPv4H;0.553;233267;0.717;003FTlCpBTM4eSqYSWPv4H;0.128;7;0.0385;-5.857;1;"Swing, Swing";0.0318;127.947;4;https://api.spotify.com/v1/tracks/003FTlCpBTM4eSqYSWPv4H;audio_features;spotify:track:003FTlCpBTM4eSqYSWPv4H;0.318
0.277;https://api.spotify.com/v1/audio-analysis/005GaX6hvgeTFnR9FvejTE;0.782;230103;0.341;005GaX6hvgeTFnR9FvejTE;0.000111;3;0.109;-7.646;1;"Hey Lady";0.0311;97.044;4;https://api.spotify.com/v1/tracks/005GaX6hvgeTFnR9FvejTE;audio_features;spotify:track:005GaX6hvgeTFnR9FvejTE;0.709
0.223;https://api.spotify.com/v1/audio-analysis/00aQGaqM6SFzGfbgKOite0;0.609;248158;0.466;00aQGaqM6SFzGfbgKOite0;0.00934;8;0.0947;-11.735;1;"So Close";0.178;114.039;4;https://api.spotify.com/v1/tracks/00aQGaqM6SFzGfbgKOite0;audio_features;spotify:track:00aQGaqM6SFzGfbgKOite0;0.492
0.373;https://api.spotify.com/v1/audio-analysis/00bG1RjQJbmBQqXMTnLnia;0.46;220333;0.411;00bG1RjQJbmBQqXMTnLnia;0;1;0.0896;-7.238;1;"Quiet Your Mind";0.0314;158.988;3;https://api.spotify.com/v1/tracks/00bG1RjQJbmBQqXMTnLnia;audio_features;spotify:track:00bG1RjQJbmBQqXMTnLnia;0.115
0.723;https://api.spotify.com/v1/audio-analysis/00bpypLZGiVjLB77a5pe16;0.501;524053;0.272;00bpypLZGiVjLB77a5pe16;0.000771;8;0.106;-11.803;1;"Tribute to Glenn Miller";0.0462;86.391;4;https://api.spotify.com/v1/tracks/00bpypLZGiVjLB77a5pe16;audio_features;spotify:track:00bpypLZGiVjLB77a5pe16;0.442
0.744;https://api.spotify.com/v1/audio-analysis/00BTDWR6xCaGdst6cPKkpF;0.39;412613;0.39;00BTDWR6xCaGdst6cPKkpF;0.0858;2;0.0771;-15.14;1;Hideaway;0.0529;147.055;3;https://api.spotify.com/v1/tracks/00BTDWR6xCaGdst6cPKkpF;audio_features;spotify:track:00BTDWR6xCaGdst6cPKkpF;0.0382
0.459;https://api.spotify.com/v1/audio-analysis/00bWqt93aqLXqKtzZoq7Jw;0.878;286517;0.407;00bWqt93aqLXqKtzZoq7Jw;0;7;0.111;-10.941;1;MOOO!;0.233;89.007;4;https://api.spotify.com/v1/tracks/00bWqt93aqLXqKtzZoq7Jw;audio_features;spotify:track:00bWqt93aqLXqKtzZoq7Jw;0.546
0.0123;https://api.spotify.com/v1/audio-analysis/00fw2MV6BEwU0NA2JwpwB3;0.711;178440;0.938;00fw2MV6BEwU0NA2JwpwB3;0.000968;4;0.136;-3.187;1;"Nothin' On You";0.0309;116.971;4;https://api.spotify.com/v1/tracks/00fw2MV6BEwU0NA2JwpwB3;audio_features;spotify:track:00fw2MV6BEwU0NA2JwpwB3;0.936
0.00265;https://api.spotify.com/v1/audio-analysis/00Ga884hbpVvCNyeQdle1U;0.642;246307;0.715;00Ga884hbpVvCNyeQdle1U;0;8;0.094;-5.711;1;"Violet Chemistry";0.0385;119.938;4;https://api.spotify.com/v1/tracks/00Ga884hbpVvCNyeQdle1U;audio_features;spotify:track:00Ga884hbpVvCNyeQdle1U;0.588
0.0155;https://api.spotify.com/v1/audio-analysis/00NAQYOP4AmWR549nnYJZu;0.664;265600;0.771;00NAQYOP4AmWR549nnYJZu;0.0000096;0;0.46;-5.779;1;Secrets;0.0533;109.945;4;https://api.spotify.com/v1/tracks/00NAQYOP4AmWR549nnYJZu;audio_features;spotify:track:00NAQYOP4AmWR549nnYJZu;0.763
0.000668;https://api.spotify.com/v1/audio-analysis/00PlVxHEJucd9b84TYTbSL;0.551;193836;0.865;00PlVxHEJucd9b84TYTbSL;0;9;0.108;-4.616;1;"Lots of Nothing - feat. BENEE";0.0406;140.036;4;https://api.spotify.com/v1/tracks/00PlVxHEJucd9b84TYTbSL;audio_features;spotify:track:00PlVxHEJucd9b84TYTbSL;0.702
0.0221;https://api.spotify.com/v1/audio-analysis/00QO92Jpi7yj7EtlkBtGn5;0.564;212160;0.856;00QO92Jpi7yj7EtlkBtGn5;0;9;0.102;-4.511;1;"Better Than This - Encore";0.0379;129.963;4;https://api.spotify.com/v1/tracks/00QO92Jpi7yj7EtlkBtGn5;audio_features;spotify:track:00QO92Jpi7yj7EtlkBtGn5;0.575
0.249;https://api.spotify.com/v1/audio-analysis/00vCVKJkVQIQ3EoQmAy5Ty;0.648;241427;0.816;00vCVKJkVQIQ3EoQmAy5Ty;0.0000021;6;0.0523;-5.556;1;"Standing Right In Front Of You";0.0299;121.907;4;https://api.spotify.com/v1/tracks/00vCVKJkVQIQ3EoQmAy5Ty;audio_features;spotify:track:00vCVKJkVQIQ3EoQmAy5Ty;0.778
0.037;https://api.spotify.com/v1/audio-analysis/00zk0uua6s2ifh0Nc3ppfW;0.774;211253;0.577;00zk0uua6s2ifh0Nc3ppfW;0.627;2;0.122;-12.132;1;"Nun id change";0.107;100.003;4;https://api.spotify.com/v1/tracks/00zk0uua6s2ifh0Nc3ppfW;audio_features;spotify:track:00zk0uua6s2ifh0Nc3ppfW;0.148
0.706;https://api.spotify.com/v1/audio-analysis/01OOLvNYxeSttThtUj8Mor;0.558;205413;0.558;01OOLvNYxeSttThtUj8Mor;0.0000683;4;0.27;-10.455;1;Julia;0.0367;139.914;3;https://api.spotify.com/v1/tracks/01OOLvNYxeSttThtUj8Mor;audio_features;spotify:track:01OOLvNYxeSttThtUj8Mor;0.524
